date_time,source,channel,level,location,user,MID,system,SID,operation,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,comment
7/3/2020 12:09,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.8,0.85,0.13,0.87,NaN
7/6/2020 11:08,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.6,0.85,1.24,0.51,NaN
7/6/2020 11:15,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.9,0.85,0.05,0.95,NaN
7/7/2020 17:15,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,25.3,0.85,0.54,0.58,NaN
7/7/2020 19:36,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23.9,0.85,0.61,0.83,NaN
7/8/2020 11:17,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,24.8,0.85,0.05,0.95,NaN
7/8/2020 11:18,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,10,0.85,3.5,0.95,NaN
7/8/2020 11:32,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.3,0.85,0.5,0.5,NaN
7/8/2020 19:04,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.9,0.85,0.94,0.55,NaN
7/9/2020 10:45,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,24.4,0.85,0.38,0.62,NaN
